ensembl_gene_id	GTEx_gene_id_version	Description	Adipose...Subcutaneous	Adipose...Visceral..Omentum.	Adrenal.Gland	Artery...Aorta	Artery...Coronary	Artery...Tibial	Bladder	Brain...Amygdala	Brain...Anterior.cingulate.cortex..BA24.	Brain...Caudate..basal.ganglia.	Brain...Cerebellar.Hemisphere	Brain...Cerebellum	Brain...Cortex	Brain...Frontal.Cortex..BA9.	Brain...Hippocampus	Brain...Hypothalamus	Brain...Nucleus.accumbens..basal.ganglia.	Brain...Putamen..basal.ganglia.	Brain...Spinal.cord..cervical.c.1.	Brain...Substantia.nigra	Breast...Mammary.Tissue	Cells...EBV.transformed.lymphocytes	Cells...Transformed.fibroblasts	Cervix...Ectocervix	Cervix...Endocervix	Colon...Sigmoid	Colon...Transverse	Esophagus...Gastroesophageal.Junction	Esophagus...Mucosa	Esophagus...Muscularis	Fallopian.Tube	Heart...Atrial.Appendage	Heart...Left.Ventricle	Kidney...Cortex	Liver	Lung	Minor.Salivary.Gland	Muscle...Skeletal	Nerve...Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin...Not.Sun.Exposed..Suprapubic.	Skin...Sun.Exposed..Lower.leg.	Small.Intestine...Terminal.Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole.Blood	tissue_means	sum
ENSG00000225972	ENSG00000225972.1	MTND1P23	14.9	11.65	14.9	6.127	7.57	8.285	7.068	19.735	17.41	18.905	12.685	16.01	19.405	17.34	17.79	15.52	16.96	19.175	15.74	18.965	12.81	4.9045	6.306	5.8515	8.977	10.64	11.685	10.059	5.892	9.8765	6.905	16.28	23.28	17.89	10.46	9.282	8.829	16.825	10.0085	5.858	5.5455	7.311	9.68	10.33	11.57	12.79	7.647	12.655	13.64	8.7245	6.845	6.069	4.364	11.81	637.74
ENSG00000225630	ENSG00000225630.1	MTND2P28	941.2	989	907	324.7	492.5	354.5	483.1	1152.5	1152	1555.5	609.75	830.6	1226.5	938.6	1259	1132	1258	1584.5	1065	1369	885.85	214.15	201.9	343.55	406.1	820	796.65	783.55	330.6	781.45	507	1123	1274	1076	754.3	444.7	512.1	752.1	582.75	382.9	340.55	514	805.2	597.1	555.3	772.2	366.55	884.2	566.7	557.8	433.8	377.2	56.35	743.859433962264	40168.4094339623
ENSG00000237973	ENSG00000237973.1	hsa-mir-6723	48.22	47.65	113.35	30.28	39.04	43.87	54.78	133.6	129.6	117.35	51.345	57.81	139.65	113.1	136.3	117.1	92.65	119.2	71.95	109.1	51.145	38.55	35.98	31.595	55.84	51.19	94.69	64.255	46.06	63.4	46.84	131.3	180.6	86.12	82.2	46.4	48.9	104.05	36.645	31.14	25.095	20.53	39.98	66.93	65.01	89.01	49.295	82.76	41.27	52.975	38.6	33.1	14.17	70.0296226415094	3781.59962264151
ENSG00000229344	ENSG00000229344.1	RP5-857K21.7	14.9	14.15	20.115	8.122	10.61	10.4	13.04	29.125	29.6	31.985	18.43	19.61	27.69	28.83	31.15	30.63	28.33	35.845	25.97	36.065	14.11	11.74	11.15	7.535	7.978	17.63	21.585	16.555	11.35	16.915	8.796	19.48	31.66	25.74	19.13	12.76	12.65	19.17	11.65	7.806	6.562	11.85	15.595	13.39	14.31	20.03	11.25	17.605	12.63	14.455	9.581	9.288	5.665	17.588641509434	949.786641509434
ENSG00000240409	ENSG00000240409.1	MTATP8P1	20.14	18.35	22.235	9.655	12.64	11.93	11.29	29.345	26.89	28.835	15	21.56	27.285	22.59	28.54	27.31	26.34	30.6	20.05	29.06	17.995	9.4795	9.593	6.122	12.43	17.71	19.725	16.95	10.32	16.11	9.232	31.32	39.95	23.26	23.38	13.22	12.41	24.81	14.015	9.465	7.5835	12.56	20.45	15.73	15.96	23.55	10.225	21.275	13.79	16.035	10.12	10.74	4.042	18.0981509433962	977.300150943396
ENSG00000248527	ENSG00000248527.1	MTATP6P1	3108	3881	5478.5	1767	2189	1917	2810	6332.5	6276	7405	4014.5	4581	6114.5	5363	6642	6173	6691	7739	4649	6209	3424.5	1650.5	1379	1818.5	2113	3499	4288.5	3503	1995	3619.5	2240	6837	8294	6276	5360	2172	2473	4844.5	2221	2238	1411	2510	4062.5	2779	2536	4085	2440	4273.5	2798	3056.5	2252	1989	487	3854.06603773585	208119.566037736
ENSG00000198744	ENSG00000198744.5	RP5-857K21.11	24	20.86	30.395	11.91	15.44	17.23	13.36	47.77	40.95	35.47	23.57	24.96	34.25	35.24	48.45	41.13	41.23	40.96	26.24	37.205	23.2	12.795	11.07	9.4535	10.27	20.04	25.815	21.49	14.15	20.54	12.91	37.83	57.99	40.06	23.46	15.31	18.2	28.555	18.005	11.68	8.6045	16.7	20.22	22.15	23.85	25.23	13.44	22.76	22.25	23.325	11.95	13.46	6.766	24.0405471698113	1298.18954716981
ENSG00000236055	ENSG00000236055.1	RP11-423O2.2	0.2077	0.1063	0.3126	0.2248	0.2777	0.2279	0.4662	0	0	0	0.1363	0.2355	0	0	0	0	0	0	0.06852	0	0.2988	0.41415	0.2655	0.273755	0.5069	0.2704	0.16005	0.29195	0.1463	0.23945	0.2888	0.1349	0.1004	0.08294	0.04784	0.2204	0.3674	0.25285	0.49995	0.7116	0.10825	0.3116	0.36245	0.2987	0.3788	0.2231	0.1527	0.18085	0.5362	0.6705	0.4457	0.3454	0	0.223624622641509	12.0757296226415
ENSG00000230255	ENSG00000230255.1	RP11-423O2.1	0.14175	0.08487	0.1855	0.1371	0.158	0.1597	0.3726	0	0	0	0.07466	0.1843	0.027285	0	0	0	0	0	0.06442	0	0.18445	0.23205	0.1766	0.19515	0.781	0.1477	0.1232	0.1673	0.08054	0.168	0.3204	0.09462	0.05673	0.05254	0.03289	0.1124	0.2355	0.1507	0.33545	0.4597	0.068125	0.2102	0.1976	0.2087	0.2599	0.13	0.082405	0.10435	0.3393	0.41785	0.292	0.2003	0	0.154864811320755	8.36269981132076
ENSG00000234604	ENSG00000234604.2	RP1-206D15.5	0.51005	0.7735	0.3396	0.4608	0	0.4747	0.5508	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8751	0	0.3636	0.53365	0	0.34	0.26635	0.50895	0	0.3288	1.006	0.5365	0.2848	0	0	0.6079	0.475	0.5813	0.6848	0.9361	0.30985	0.3944	0	0.5646	0.5466	0.3682	0	0.4668	0	0.57655	0.4321	0.4427	0	0.293209433962264	15.8333094339623
ENSG00000229604	ENSG00000229604.2	MTATP8P2	0.62945	0.6157	0.7984	0.2671	0.3607	0.3935	0	0.86935	0.7878	1.2365	0.53515	0.7045	0.9454	0.7425	0.9748	0.8823	1.036	1.0085	0.6798	0.8297	0.59065	0.27265	0.2215	0	0.3498	0.4922	0.61325	0.5136	0.2915	0.4858	0	1.078	1.606	0.965	0.7845	0.4897	0.3474	0.78795	0.3963	0.3237	0.24215	0.3779	0.5781	0.5187	0.4933	0.7325	0.37825	0.5842	0.5807	0.57815	0.3015	0.2688	0.1918	0.579862264150943	31.3125622641509
ENSG00000236878	ENSG00000236878.1	AC012363.7	0.1855	0.2399	0.10775	0.3028	0.3411	0.2822	0.2272	0.33205	0.2883	0.3566	2.2865	1.824	0.3532	0.4487	0.3574	0.4119	0.3771	0.2741	0.4511	0.2991	0.29185	0.2398	0.198	0.5519	0.8243	0.5138	0.28395	0.44395	0.2661	0.40495	0.1013	0.1464	0.1143	0.1495	0.08184	0.4074	0.3594	0.090135	0.4708	0.4354	0.11395	0.4847	0.683	0.2475	0.1915	0.3467	0.72145	0.1979	0.2252	0.6099	0.9105	0.6885	0.1378	0.409059905660377	22.0892349056604
ENSG00000227788	ENSG00000227788.1	AC012363.8	0.14205	0.1791	0.072605	0.2195	0.2325	0.2225	0.2906	0.15675	0.1243	0.187	1.379	1.156	0.1684	0.1903	0.1789	0.2032	0.2212	0.16565	0.2718	0.17355	0.22905	0.16885	0.1784	0.5561	0.6291	0.3727	0.21145	0.2938	0.1803	0.28195	0.7978	0.1179	0.06914	0.1019	0.04962	0.2939	0.2717	0.074405	0.34575	0.3247	0.09468	0.2784	0.4133	0.1863	0.1375	0.2828	0.44805	0.15745	0.1528	0.41415	0.6736	0.4595	0.08252	0.288008867924528	15.5524788679245
ENSG00000233286	ENSG00000233286.1	MTND3P10	0	0	0	0.1403	0.1082	0.08118	0.1438	0	0	0.09133	0.69725	0.6035	0.0797	0.08403	0.0868	0.09006	0.08174	0.07293	0.1293	0	0.1169	0.09973	0.1027	0.31295	0.5877	0.1754	0.097745	0.16015	0.09113	0.1423	0.3521	0.06124	0	0	0	0.1628	0.1233	0	0.1939	0.1393	0	0.1255	0.1958	0.08718	0	0.1757	0.1743	0	0	0.1831	0.4686	0.3	0	0.134332924528302	7.2539779245283
