name	description
chromosome_name	Chromosome/scaffold name
start	Start
end	End
band_start	Band Start
band_end	Band End
marker_start	Marker Start
marker_end	Marker End
encode_region	Encode region
strand	Strand
chromosomal_region	e.g. 1:100:10000:-1, 1:100000:200000:1
with_arrayexpress	With ArrayExpress ID(s)
with_ccds	With CCDS ID(s)
with_chembl	With ChEMBL ID(s)
with_clone_based_ensembl_gene	With Clone-based (Ensembl) gene ID(s)
with_clone_based_ensembl_transcript	With Clone-based (Ensembl) transcript ID(s)
with_clone_based_vega_gene	With Clone-based (Vega) gene ID(s)
with_clone_based_vega_transcript	With Clone-based (Vega) transcript ID(s)
with_dbass3	With DataBase of Aberrant 3' Splice Sites ID(s)
with_ens_hs_translation	With Ensembl Human Translation ID(s)
with_entrezgene	With EntrezGene ID(s)
with_embl	With European Nucleotide Archive ID(s)
with_go	With GO ID(s)
with_goslim_goa	With GOSlim GOA ID(s)
with_ottg	With Havana gene ID(s)
with_ottt	With Havana transcript ID(s)
with_shares_cds_with_ottt	With Havana transcript having same CDS ID(s)
with_hgnc	With HGNC Symbol ID(s)
with_hgnc_trans_name	With HGNC transcript name ID(s)
with_hpa	With Human Protein Atlas ID(s)
with_protein_id	With INSDC protein ID ID(s)
with_kegg_enzyme	With KEGG ID(s)
with_lrg	With Locus Reference Genomic ID(s)
with_ens_lrg_gene	With LRG display in Ensembl gene ID(s)
with_ens_lrg_transcript	With LRG display in Ensembl transcript ID(s)
with_merops	With MEROPS - the Peptidase Database ID(s)
with_metacyc	With MetaCyc ID(s)
with_mim_morbid	With MIM disease ID(s)
with_mim_gene	With MIM gene ID(s)
with_mirbase	With miRBase ID(s)
with_mirbase_trans_name	With miRBase transcript name ID(s)
with_pdb	With PDB ID(s)
with_reactome	With Reactome ID(s)
with_refseq_mrna	With RefSeq mRNA ID(s)
with_refseq_mrna_predicted	With RefSeq mRNA predicted ID(s)
with_refseq_ncrna	With RefSeq ncRNA ID(s)
with_refseq_ncrna_predicted	With RefSeq ncRNA predicted ID(s)
with_refseq_peptide	With RefSeq peptide ID(s)
with_refseq_peptide_predicted	With RefSeq peptide predicted ID(s)
with_rfam	With RFAM ID(s)
with_rfam_trans_name	With RFAM transcript name ID(s)
with_shares_cds_and_utr_with_ottt	With Transcript having exact match between ENSEMBL and HAVANA ID(s)
with_ucsc	With UCSC Stable ID ID(s)
with_unigene	With UniGene ID(s)
with_uniparc	With UniParc ID(s)
with_unipathway	With UniPathway ID(s)
with_uniprot_gn_trans_name	With UniProt transcript name ID(s)
with_uniprot_gn	With UniProtKB Gene Name ID(s)
