name	description	page
ensembl_gene_id	Gene stable ID	feature_page
ensembl_gene_id_version	Gene stable ID version	feature_page
ensembl_transcript_id	Transcript stable ID	feature_page
ensembl_transcript_id_version	Transcript stable ID version	feature_page
ensembl_peptide_id	Protein stable ID	feature_page
ensembl_peptide_id_version	Protein stable ID version	feature_page
ensembl_exon_id	Exon stable ID	feature_page
description	Gene description	feature_page
chromosome_name	Chromosome/scaffold name	feature_page
start_position	Gene start (bp)	feature_page
end_position	Gene end (bp)	feature_page
strand	Strand	feature_page
band	Karyotype band	feature_page
transcript_start	Transcript start (bp)	feature_page
transcript_end	Transcript end (bp)	feature_page
transcription_start_site	Transcription start site (TSS)	feature_page
transcript_length	Transcript length (including UTRs and CDS)	feature_page
transcript_gencode_basic	GENCODE basic annotation	feature_page
external_gene_name	Gene name	feature_page
external_gene_source	Source of gene name	feature_page
external_transcript_name	Transcript name	feature_page
external_transcript_source_name	Source of transcript name	feature_page
transcript_count	Transcript count	feature_page
percentage_gene_gc_content	Gene % GC content	feature_page
gene_biotype	Gene type	feature_page
transcript_biotype	Transcript type	feature_page
source	Source (gene)	feature_page
transcript_source	Source (transcript)	feature_page
version	Version (gene)	feature_page
transcript_version	Version (transcript)	feature_page
phenotype_description	Phenotype description	feature_page
source_name	Source name	feature_page
study_external_id	Study external reference	feature_page
strain_name	Strain name	feature_page
strain_gender	Strain gender	feature_page
p_value	P value	feature_page
go_id	GO term accession	feature_page
name_1006	GO term name	feature_page
definition_1006	GO term definition	feature_page
go_linkage_type	GO term evidence code	feature_page
namespace_1003	GO domain	feature_page
goslim_goa_accession	GOSlim GOA Accession(s)	feature_page
goslim_goa_description	GOSlim GOA Description	feature_page
arrayexpress	ArrayExpress ID	feature_page
ccds	CCDS ID	feature_page
chembl	ChEMBL ID	feature_page
clone_based_ensembl_gene	Clone-based (Ensembl) gene ID	feature_page
clone_based_ensembl_transcript	Clone-based (Ensembl) transcript ID	feature_page
clone_based_vega_gene	Clone-based (Vega) gene ID	feature_page
clone_based_vega_transcript	Clone-based (Vega) transcript ID	feature_page
dbass3_name	DataBase of Aberrant 3' Splice Sites name	feature_page
dbass3_id	DataBase of Aberrant 3' Splice Sites ID	feature_page
ens_hs_translation	Ensembl Human Translation ID	feature_page
entrezgene	EntrezGene ID	feature_page
embl	European Nucleotide Archive ID	feature_page
ottg	Havana gene ID	feature_page
ottt	Havana transcript ID	feature_page
shares_cds_with_ottt	Havana transcript having same CDS ID	feature_page
hgnc_symbol	HGNC symbol	feature_page
hgnc_id	HGNC ID	feature_page
hgnc_trans_name	HGNC transcript name ID	feature_page
hpa	Human Protein Atlas ID	feature_page
protein_id	INSDC protein ID	feature_page
kegg_enzyme	KEGG ID	feature_page
lrg	Locus Reference Genomic ID	feature_page
ens_lrg_gene	LRG display in Ensembl gene ID	feature_page
ens_lrg_transcript	LRG display in Ensembl transcript ID	feature_page
merops	MEROPS - the Peptidase Database ID	feature_page
metacyc	MetaCyc ID	feature_page
mim_morbid_description	MIM disease description	feature_page
mim_morbid_accession	MIM disease accession	feature_page
mim_gene_description	MIM gene description	feature_page
mim_gene_accession	MIM gene accession	feature_page
mirbase_id	miRBase ID	feature_page
mirbase_accession	miRBase accession	feature_page
mirbase_trans_name	miRBase transcript name ID	feature_page
pdb	PDB ID	feature_page
reactome	Reactome ID	feature_page
refseq_mrna	RefSeq mRNA ID	feature_page
refseq_mrna_predicted	RefSeq mRNA predicted ID	feature_page
refseq_ncrna	RefSeq ncRNA ID	feature_page
refseq_ncrna_predicted	RefSeq ncRNA predicted ID	feature_page
refseq_peptide	RefSeq peptide ID	feature_page
refseq_peptide_predicted	RefSeq peptide predicted ID	feature_page
rfam	RFAM ID	feature_page
rfam_trans_name	RFAM transcript name ID	feature_page
shares_cds_and_utr_with_ottt	Transcript having exact match between ENSEMBL and HAVANA ID	feature_page
ucsc	UCSC Stable ID	feature_page
unigene	UniGene ID	feature_page
uniparc	UniParc ID	feature_page
unipathway	UniPathway ID	feature_page
uniprot_gn_trans_name	UniProt transcript name ID	feature_page
uniprot_gn	UniProtKB Gene Name ID	feature_page
uniprotswissprot	UniProtKB/Swiss-Prot ID	feature_page
uniprotsptrembl	UniProtKB/TrEMBL ID	feature_page
vega_transcript	Vega transcript ID	feature_page
vega_translation	Vega translation ID	feature_page
wikigene_description	WikiGene description	feature_page
wikigene_name	WikiGene name	feature_page
wikigene_id	WikiGene ID	feature_page
affy_hc_g110	AFFY HC G110 probe	feature_page
affy_hg_focus	AFFY HG Focus probe	feature_page
affy_hg_u133a	AFFY HG U133A probe	feature_page
affy_hg_u133a_2	AFFY HG U133A 2 probe	feature_page
affy_hg_u133b	AFFY HG U133B probe	feature_page
affy_hg_u133_plus_2	AFFY HG U133 Plus 2 probe	feature_page
affy_hg_u95a	AFFY HG U95A probe	feature_page
affy_hg_u95av2	AFFY HG U95Av2 probe	feature_page
affy_hg_u95b	AFFY HG U95B probe	feature_page
affy_hg_u95c	AFFY HG U95C probe	feature_page
affy_hg_u95d	AFFY HG U95D probe	feature_page
affy_hg_u95e	AFFY HG U95E probe	feature_page
affy_hta_2_0	AFFY HTA 2 0 probe	feature_page
affy_huex_1_0_st_v2	AFFY HuEx 1 0 st v2 probe	feature_page
affy_hugenefl	AFFY HuGeneFL probe	feature_page
affy_hugene_1_0_st_v1	AFFY HuGene 1 0 st v1 probe	feature_page
affy_hugene_2_0_st_v1	AFFY HuGene 2 0 st v1 probe	feature_page
affy_primeview	AFFY PrimeView probe	feature_page
affy_u133_x3p	AFFY U133 X3P probe	feature_page
agilent_cgh_44b	AGILENT CGH 44b probe	feature_page
agilent_sureprint_g3_ge_8x60k	AGILENT SurePrint G3 GE 8x60k probe	feature_page
agilent_sureprint_g3_ge_8x60k_v2	AGILENT SurePrint G3 GE 8x60k v2 probe	feature_page
agilent_wholegenome_4x44k_v1	AGILENT WholeGenome 4x44k v1 probe	feature_page
agilent_wholegenome_4x44k_v2	AGILENT WholeGenome 4x44k v2 probe	feature_page
codelink_codelink	CODELINK CODELINK probe	feature_page
illumina_humanht_12_v3	ILLUMINA HumanHT 12 V3 probe	feature_page
illumina_humanht_12_v4	ILLUMINA HumanHT 12 V4 probe	feature_page
illumina_humanref_8_v3	ILLUMINA HumanRef 8 V3 probe	feature_page
illumina_humanwg_6_v1	ILLUMINA HumanWG 6 V1 probe	feature_page
illumina_humanwg_6_v2	ILLUMINA HumanWG 6 V2 probe	feature_page
illumina_humanwg_6_v3	ILLUMINA HumanWG 6 V3 probe	feature_page
phalanx_onearray	PHALANX OneArray probe	feature_page
family	Ensembl Protein Family ID(s)	feature_page
family_description	Ensembl Family Description	feature_page
gene3d	Gene3D ID	feature_page
gene3d_start	Gene3D start	feature_page
gene3d_end	Gene3D end	feature_page
hamap	HAMAP ID	feature_page
hamap_start	HAMAP start	feature_page
hamap_end	HAMAP end	feature_page
hmmpanther	hmmpanther ID	feature_page
hmmpanther_start	hmmpanther start	feature_page
hmmpanther_end	hmmpanther end	feature_page
pfam	Pfam domain ID	feature_page
pfam_start	Pfam domain start	feature_page
pfam_end	Pfam domain end	feature_page
pirsf	PIRSF domain ID	feature_page
pirsf_start	PIRSF domain start	feature_page
pirsf_end	PIRSF domain end	feature_page
prints	Prints domain ID	feature_page
prints_start	Prints domain start	feature_page
prints_end	Prints domain end	feature_page
scanprosite	PROSITE patterns ID	feature_page
scanprosite_start	PROSITE patterns start	feature_page
scanprosite_end	PROSITE patterns end	feature_page
pfscan	PROSITE profiles ID	feature_page
pfscan_start	PROSITE profiles start	feature_page
pfscan_end	PROSITE profiles end	feature_page
smart	SMART domains ID	feature_page
smart_start	SMART domains start	feature_page
smart_end	SMART domains end	feature_page
superfamily	Superfamily domains ID	feature_page
superfamily_start	Superfamily domains start	feature_page
superfamily_end	Superfamily domains end	feature_page
tigrfam	TIGRFAM domain ID	feature_page
tigrfam_start	TIGRFAM domain start	feature_page
tigrfam_end	TIGRFAM domain end	feature_page
interpro	Interpro ID	feature_page
interpro_short_description	Interpro Short Description	feature_page
interpro_description	Interpro Description	feature_page
interpro_start	Interpro start	feature_page
interpro_end	Interpro end	feature_page
ncoils	Coiled-coils (Ncoils)	feature_page
ncoils_start	Coiled-coils (Ncoils) start	feature_page
ncoils_end	Coiled-coils (Ncoils) end	feature_page
seg	Low complexity (Seg)	feature_page
seg_start	Low complexity (Seg) start	feature_page
seg_end	Low complexity (Seg) end	feature_page
signalp	Cleavage site (Signalp)	feature_page
signalp_start	Cleavage site (Signalp) start	feature_page
signalp_end	Cleavage site (Signalp) end	feature_page
tmhmm	Transmembrane helices	feature_page
tmhmm_start	Transmembrane helices start	feature_page
tmhmm_end	Transmembrane helices end	feature_page
ensembl_gene_id	Gene stable ID	structure
ensembl_transcript_id	Transcript stable ID	structure
ensembl_peptide_id	Protein stable ID	structure
chromosome_name	Chromosome/scaffold name	structure
start_position	Gene start (bp)	structure
end_position	Gene end (bp)	structure
transcript_start	Transcript start (bp)	structure
transcript_end	Transcript end (bp)	structure
transcription_start_site	Transcription start site (TSS)	structure
transcript_length	Transcript length (including UTRs and CDS)	structure
strand	Strand	structure
external_gene_name	Gene name	structure
external_gene_source	Source of gene name	structure
5_utr_start	5' UTR start	structure
5_utr_end	5' UTR end	structure
3_utr_start	3' UTR start	structure
3_utr_end	3' UTR end	structure
cds_length	CDS Length	structure
transcript_count	Transcript count	structure
description	Gene description	structure
gene_biotype	Gene type	structure
exon_chrom_start	Exon region start (bp)	structure
exon_chrom_end	Exon region end (bp)	structure
is_constitutive	Constitutive exon	structure
rank	Exon rank in transcript	structure
phase	Start phase	structure
end_phase	End phase	structure
cdna_coding_start	cDNA coding start	structure
cdna_coding_end	cDNA coding end	structure
genomic_coding_start	Genomic coding start	structure
genomic_coding_end	Genomic coding end	structure
ensembl_exon_id	Exon stable ID	structure
cds_start	CDS start	structure
cds_end	CDS end	structure
ensembl_gene_id	Gene stable ID	homologs
ensembl_transcript_id	Transcript stable ID	homologs
ensembl_peptide_id	Protein stable ID	homologs
chromosome_name	Chromosome/scaffold name	homologs
start_position	Gene start (bp)	homologs
end_position	Gene end (bp)	homologs
strand	Strand	homologs
band	Karyotype band	homologs
external_gene_name	Gene name	homologs
external_gene_source	Source of gene name	homologs
transcript_count	Transcript count	homologs
percentage_gene_gc_content	Gene % GC content	homologs
description	Gene description	homologs
vpacos_homolog_ensembl_gene	Alpaca gene stable ID	homologs
vpacos_homolog_associated_gene_name	Alpaca gene name	homologs
vpacos_homolog_ensembl_peptide	Alpaca protein or transcript stable ID	homologs
vpacos_homolog_chromosome	Alpaca chromosome/scaffold name	homologs
vpacos_homolog_chrom_start	Alpaca chromosome/scaffold start (bp)	homologs
vpacos_homolog_chrom_end	Alpaca chromosome/scaffold end (bp)	homologs
vpacos_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
vpacos_homolog_subtype	Last common ancestor with Alpaca	homologs
vpacos_homolog_orthology_type	Alpaca homology type	homologs
vpacos_homolog_perc_id	%id. target Alpaca gene identical to query gene	homologs
vpacos_homolog_perc_id_r1	%id. query gene identical to target Alpaca gene	homologs
vpacos_homolog_goc_score	Alpaca Gene-order conservation score	homologs
vpacos_homolog_wga_coverage	Alpaca Whole-genome alignment coverage	homologs
vpacos_homolog_dn	dN with Alpaca	homologs
vpacos_homolog_ds	dS with Alpaca	homologs
vpacos_homolog_orthology_confidence	Alpaca orthology confidence [0 low, 1 high]	homologs
acarolinensis_homolog_ensembl_gene	Anole lizard gene stable ID	homologs
